,pricing,size,address,link
156,"$868,000","4 bds3 ba2,760 sqft - Multi-family home for sale","2071 E 52nd St, Brooklyn, NY 11234",https://www.zillow.com/homedetails/2071-E-52nd-St-Brooklyn-NY-11234/30786862_zpid/
157,"$329,000",1 bd1 ba800 sqft - House for sale,"50 Brighton 1 Rd #1H, Brooklyn, NY 11235",https://www.zillow.com/homedetails/50-Brighton-1-Rd-1H-Brooklyn-NY-11235/2065775934_zpid/
158,"$5,800,000","9 bds6 ba6,250 sqft - Townhouse for sale","177 Atlantic Ave, Brooklyn, NY 11201",https://www.zillow.com/homedetails/177-Atlantic-Ave-Brooklyn-NY-11201/30568113_zpid/
159,"$938,000","4 bds2 ba1,920 sqft - Multi-family home for sale","1871 Shore Pkwy, Brooklyn, NY 11214",https://www.zillow.com/homedetails/1871-Shore-Pkwy-Brooklyn-NY-11214/30731929_zpid/
160,"$419,500",1 bd1 ba367 sqft - Condo for sale,"156 Macon St #3B, Brooklyn, NY 11216",https://www.zillow.com/homedetails/156-Macon-St-3B-Brooklyn-NY-11216/120729775_zpid/
161,"$1,449,000","5 bds3 ba2,900 sqft - House for sale","2821 Avenue N, Brooklyn, NY 11210",https://www.zillow.com/homedetails/2821-Avenue-N-Brooklyn-NY-11210/30754949_zpid/
162,"$1,135,000",2 bds2 ba-- sqft - Condo for sale,"344 De Graw St #4A, Brooklyn, NY 11231",https://www.zillow.com/homedetails/344-De-Graw-St-4A-Brooklyn-NY-11231/2061584333_zpid/
163,"$329,000",1 bd1 ba850 sqft - Condo for sale,"909 E 29th St APT 3F, Brooklyn, NY 11210",https://www.zillow.com/homedetails/909-E-29th-St-APT-3F-Brooklyn-NY-11210/79982475_zpid/
164,"$628,000","2 bds2 ba1,042 sqft - Condo for sale","3041 Brighton 2 St #1B, Brooklyn, NY 11235",https://www.zillow.com/homedetails/3041-Brighton-2-St-1B-Brooklyn-NY-11235/2120272314_zpid/
165,"$370,000","2 bds1 ba1,000 sqft - Condo for sale","2652 Cropsey Ave APT 12F, Brooklyn, NY 11214",https://www.zillow.com/homedetails/2652-Cropsey-Ave-APT-12F-Brooklyn-NY-11214/2060843595_zpid/
166,"$449,000",1 bd1 ba472 sqft - Condo for sale,"1759 Bay Ridge Pkwy APT 2A, Brooklyn, NY 11204",https://www.zillow.com/homedetails/1759-Bay-Ridge-Pkwy-APT-2A-Brooklyn-NY-11204/2060523364_zpid/
167,"$809,000","3 bds1 ba1,330 sqft - House for sale","633 92nd St, Brooklyn, NY 11228",https://www.zillow.com/homedetails/633-92nd-St-Brooklyn-NY-11228/30701094_zpid/
168,"$699,995","3 bds2 ba1,280 sqft - Multi-family home for sale","3906 Clarendon Rd, Brooklyn, NY 11203",https://www.zillow.com/homedetails/3906-Clarendon-Rd-Brooklyn-NY-11203/30661708_zpid/
169,"$539,000",3 bds2 ba788 sqft - House for sale,"1747 Albany Ave, Brooklyn, NY 11210",https://www.zillow.com/homedetails/1747-Albany-Ave-Brooklyn-NY-11210/30758611_zpid/
170,"$399,000","3 bds1 ba1,100 sqft - Condo for sale","2427 E 29th St APT 6E, Brooklyn, NY 11235",https://www.zillow.com/homedetails/2427-E-29th-St-APT-6E-Brooklyn-NY-11235/245024754_zpid/
